,,0
AcceptedCmp1 (con),Complain (con),-0.02500632116862943
Joined_year (con),Recency (con),-0.026501282853049923
AcceptedCmp4 (con),Complain (con),-0.027017591242240707
AcceptedCmp4 (con),NumWebVisitsMonth (con),-0.029004140740542018
Complain (con),MntGoldProds (con),-0.030136826507601137
AcceptedCmp3 (con),Recency (con),-0.032239833911750025
Complain (con),MntWines (con),-0.036376157795369346
AcceptedCmp2 (con),NumDealsPurchases (con),-0.038103026593880006
Kidhome (con),Teenhome (con),-0.039485101095206095
AcceptedCmp3 (con),Teenhome (con),-0.042669238716534386
NumWebPurchases (con),NumWebVisitsMonth (con),-0.0516359944696918
Joined_year (con),MntFruits (con),-0.054633089135279526
AcceptedCmp3 (con),Age (con),-0.06100077583935699
Joined_year (con),MntFishProducts (con),-0.06701903078958407
AcceptedCmp3 (con),NumStorePurchases (con),-0.06933236848829714
Joined_year (con),MntSweetProducts (con),-0.0734258421471292
AcceptedCmp6 (con),Kidhome (con),-0.07807619224131727
Joined_year (con),MntMeatProducts (con),-0.07818874320697483
AcceptedCmp3 (con),AcceptedCmp4 (con),-0.07977518435606065
AcceptedCmp2 (con),Kidhome (con),-0.08194583940003759
Income (con),NumDealsPurchases (con),-0.08287369610454617
Joined_year (con),NumCatalogPurchases (con),-0.0854991813449954
Joined_year (con),NumStorePurchases (con),-0.09691964277811299
NumCatalogPurchases (con),Teenhome (con),-0.11220701806286686
Age (con),NumWebVisitsMonth (con),-0.12035462867851192
MntMeatProducts (con),NumDealsPurchases (con),-0.12135708217192186
MntSweetProducts (con),NumDealsPurchases (con),-0.12161283559266801
AcceptedCmp1 (con),NumDealsPurchases (con),-0.12766490845590014
MntFruits (con),NumDealsPurchases (con),-0.13428721039363087
MntFishProducts (con),NumDealsPurchases (con),-0.14332598682371345
Joined_year (con),MntGoldProds (con),-0.14363481262774083
AcceptedCmp1 (con),Teenhome (con),-0.1450578481368872
AcceptedCmp6 (con),Teenhome (con),-0.15418882136650053
Joined_year (con),MntWines (con),-0.15460348339489285
AcceptedCmp4 (con),Kidhome (con),-0.1622013785096687
